0.64840709,0.89116876,1.16384171,1.48079328,1.21161336,0.84291533,0.72003451,1.15662821,1.72627027,2.40297104,2.40945238,1.06088868,0.83273615,1.34285683,2.31341650,3.09559472,2.08373044,1.07755293,0.72450540,1.22413422,1.97585874,1.74131060,1.61321031,1.21877973,1.00000000
0.71127927,0.78937490,0.96984673,1.04340293,1.33963938,0.84987043,0.78081555,1.01645865,1.47357619,2.25782967,2.17287424,1.16669172,0.88260503,1.09625917,6.20593699,3.58625228,2.04448072,1.17658095,0.87716018,1.06670805,2.96377409,1.77326183,1.84701477,0.96533668,1.00000000
0.68615541,0.77779679,0.88735436,1.07902642,1.09312898,0.80407180,0.78423311,0.85555768,1.54094282,1.91466340,2.63080238,1.15662833,0.89679555,1.02220494,2.18437687,3.42984298,1.84359024,1.01243754,0.85638979,1.49594357,1.71541995,1.92093061,1.09635817,1.08147008,1.00000000
0.55040647,0.69212036,0.87608821,1.19255467,0.93652787,0.99536926,0.71066913,0.92295677,1.40313516,2.85514177,1.49866173,1.15437732,0.74460685,0.96407884,2.28246548,2.87069206,1.74965781,1.09482023,0.66043463,1.37172370,3.29246613,1.78551294,1.42820325,0.95864315,0.00000000
0.56746124,0.70399797,1.02691773,1.05157691,1.03882709,0.75665656,0.69541502,1.13383831,1.42745210,2.75916125,2.29424975,1.01395740,0.74415033,1.29286388,1.70273516,3.07223044,2.68774779,1.08427717,0.69932797,1.40816517,1.93614004,1.82660144,1.67288265,0.85293845,1.00000000
0.62639334,0.78251440,1.06916138,1.29072513,1.33756828,0.85743765,0.67843806,0.92194266,1.25458265,3.65064967,2.13675605,1.11346025,0.67654833,1.31998611,2.45860755,2.75894784,2.41059155,1.23830670,0.75051203,1.24284337,1.74703632,2.40330221,1.32870295,0.94622639,1.00000000
0.68212209,0.71278087,0.81604398,1.06377059,1.33170664,0.81507526,0.77100973,0.84386451,1.27791003,1.53215691,1.51770644,0.89377916,0.78843811,1.17794690,1.90437486,3.04706599,1.91763881,0.93944289,0.77006121,1.53791597,2.24343203,2.36298849,1.20269016,0.92008452,1.00000000
0.54986699,0.73333217,0.85015216,0.98999324,1.00042768,0.69223813,0.69403620,0.82873973,1.13147824,1.40767754,2.21065982,1.03020102,0.66696065,1.10936864,2.47111970,3.86247604,2.40024484,0.99752108,0.66721165,1.08822440,4.79357904,1.43517162,1.12087581,0.95497470,0.00000000
0.63654774,0.85184607,0.95581953,1.55394831,1.24746833,0.92019882,0.77200854,1.05393942,1.44634579,2.29729183,2.07429069,1.11927484,0.83936219,1.06838257,3.48012076,2.78750858,2.37401789,1.38363248,0.95614341,1.52415242,4.10738452,1.70863927,1.62575694,1.03319381,1.00000000
0.59328066,0.92540288,1.09895004,1.04750005,1.19873571,0.99192300,0.66181030,0.87665541,1.44807091,2.10087319,2.49231510,1.39766939,0.72515099,1.03531439,3.03519171,5.26637350,1.86798676,1.45412953,0.75113931,1.22735036,2.82933381,2.66272531,1.51272228,0.85016122,1.00000000
